probe_id,gene_symbol,gene_title,entrez_gene_id,primary_gene_symbol
206161_s_at,SYT5,synaptotagmin 5,6861,SYT5
206162_x_at,SYT5,synaptotagmin 5,6861,SYT5
206163_at,MIR548F5///MAB21L1,microRNA 548f-5///mab-21 like 1,100302239///4081,MIR548F5
206164_at,CLCA2,chloride channel accessory 2,9635,CLCA2
206165_s_at,CLCA2,chloride channel accessory 2,9635,CLCA2
206166_s_at,CLCA2,chloride channel accessory 2,9635,CLCA2
206167_s_at,ARHGAP6,Rho GTPase activating protein 6,395,ARHGAP6
206168_at,ZC3H7B,zinc finger CCCH-type containing 7B,23264,ZC3H7B
206169_x_at,ZC3H7B,zinc finger CCCH-type containing 7B,23264,ZC3H7B
206170_at,ADRB2,adrenoceptor beta 2,154,ADRB2
206171_at,ADORA3,adenosine A3 receptor,140,ADORA3
206172_at,IL13RA2,interleukin 13 receptor subunit alpha 2,3598,IL13RA2
206173_x_at,GABPB1,GA binding protein transcription factor beta subunit 1,2553,GABPB1
206174_s_at,PPP6C,protein phosphatase 6 catalytic subunit,5537,PPP6C
206175_x_at,ZNF222,zinc finger protein 222,7673,ZNF222
206176_at,BMP6,bone morphogenetic protein 6,654,BMP6
206177_s_at,ARG1,arginase 1,383,ARG1
206178_at,PLA2G5,phospholipase A2 group V,5322,PLA2G5
206179_s_at,TPPP,tubulin polymerization promoting protein,11076,TPPP
206180_x_at,ZNF747,zinc finger protein 747,65988,ZNF747
206181_at,SLAMF1,signaling lymphocytic activation molecule family member 1,6504,SLAMF1
206182_at,ZNF134,zinc finger protein 134,7693,ZNF134
206183_s_at,LOC101929134///HERC3,uncharacterized LOC101929134///HECT and RLD domain containing E3 ubiquitin protein ligase 3,101929134///8916,LOC101929134
206184_at,CRKL,"CRK like proto-oncogene, adaptor protein",1399,CRKL
206185_at,CRYBB1,crystallin beta B1,1414,CRYBB1
206186_at,MPP3,membrane palmitoylated protein 3,4356,MPP3
206187_at,PTGIR,prostaglandin I2 (prostacyclin) receptor (IP),5739,PTGIR
206188_at,ZNF623,zinc finger protein 623,9831,ZNF623
206189_at,UNC5C,unc-5 netrin receptor C,8633,UNC5C
206190_at,GPR17,G protein-coupled receptor 17,2840,GPR17
206191_at,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3,956,ENTPD3
206192_at,CDSN,corneodesmosin,1041,CDSN
206193_s_at,CDSN,corneodesmosin,1041,CDSN
206194_at,HOXC4,homeobox C4,3221,HOXC4
206195_x_at,GH2,growth hormone 2,2689,GH2
206196_s_at,RUNDC3A,RUN domain containing 3A,10900,RUNDC3A
206197_at,NME5,NME/NM23 family member 5,8382,NME5
206198_s_at,CEACAM7,carcinoembryonic antigen related cell adhesion molecule 7,1087,CEACAM7
206199_at,CEACAM7,carcinoembryonic antigen related cell adhesion molecule 7,1087,CEACAM7
206200_s_at,ANXA11,annexin A11,311,ANXA11
206201_s_at,MEOX2,mesenchyme homeobox 2,4223,MEOX2
206202_at,MEOX2,mesenchyme homeobox 2,4223,MEOX2
206203_at,RCVRN,recoverin,5957,RCVRN
206204_at,GRB14,growth factor receptor bound protein 14,2888,GRB14
206205_at,MPHOSPH9,M-phase phosphoprotein 9,10198,MPHOSPH9
206206_at,CD180,CD180 molecule,4064,CD180
206207_at,CLC,Charcot-Leyden crystal galectin,1178,CLC
206208_at,CA4,carbonic anhydrase 4,762,CA4
206209_s_at,CA4,carbonic anhydrase 4,762,CA4
206210_s_at,CETP,cholesteryl ester transfer protein,1071,CETP
206211_at,SELE,selectin E,6401,SELE
206212_at,CPA2,carboxypeptidase A2,1358,CPA2
206213_at,WNT10B,Wnt family member 10B,7480,WNT10B
206214_at,PLA2G7,phospholipase A2 group VII,7941,PLA2G7
206215_at,OPCML,opioid binding protein/cell adhesion molecule like,4978,OPCML
206216_at,SRPK3,SRSF protein kinase 3,26576,SRPK3
206217_at,EDA,ectodysplasin A,1896,EDA
206218_at,MAGEB2,MAGE family member B2,4113,MAGEB2
206219_s_at,VAV1,vav guanine nucleotide exchange factor 1,7409,VAV1
206220_s_at,RASA3,RAS p21 protein activator 3,22821,RASA3
206221_at,RASA3,RAS p21 protein activator 3,22821,RASA3
206222_at,TNFRSF10C,TNF receptor superfamily member 10c,8794,TNFRSF10C
206223_at,LMTK2,lemur tyrosine kinase 2,22853,LMTK2
206224_at,CST1,cystatin SN,1469,CST1
206225_at,ZNF507,zinc finger protein 507,22847,ZNF507
206226_at,HRG,histidine rich glycoprotein,3273,HRG
206227_at,CILP,cartilage intermediate layer protein,8483,CILP
206228_at,PAX2,paired box 2,5076,PAX2
206229_x_at,PAX2,paired box 2,5076,PAX2
206230_at,LHX1,LIM homeobox 1,3975,LHX1
206231_at,KCNN1,potassium calcium-activated channel subfamily N member 1,3780,KCNN1
206232_s_at,B4GALT6,"beta-1,4-galactosyltransferase 6",9331,B4GALT6
206233_at,B4GALT6,"beta-1,4-galactosyltransferase 6",9331,B4GALT6
206234_s_at,MMP17,matrix metallopeptidase 17,4326,MMP17
206235_at,LIG4,DNA ligase 4,3981,LIG4
206236_at,GPR4,G protein-coupled receptor 4,2828,GPR4
206237_s_at,NRG1,neuregulin 1,3084,NRG1
206238_s_at,YAF2,YY1 associated factor 2,10138,YAF2
206239_s_at,SPINK1,"serine peptidase inhibitor, Kazal type 1",6690,SPINK1
206240_s_at,ZNF136,zinc finger protein 136,7695,ZNF136
206241_at,KPNA5,karyopherin subunit alpha 5,3841,KPNA5
206242_at,TM4SF5,transmembrane 4 L six family member 5,9032,TM4SF5
206243_at,TIMP4,TIMP metallopeptidase inhibitor 4,7079,TIMP4
206244_at,CR1,complement component 3b/4b receptor 1 (Knops blood group),1378,CR1
206245_s_at,IVNS1ABP,influenza virus NS1A binding protein,10625,IVNS1ABP
206246_at,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",5210,PFKFB4
206247_at,MICB,MHC class I polypeptide-related sequence B,4277,MICB
206248_at,PRKCE,protein kinase C epsilon,5581,PRKCE
206249_at,MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175,MAP3K13
206250_x_at,AVPR1A,arginine vasopressin receptor 1A,552,AVPR1A
206251_s_at,AVPR1A,arginine vasopressin receptor 1A,552,AVPR1A
206252_s_at,AVPR1A,arginine vasopressin receptor 1A,552,AVPR1A
206253_at,DLG2,discs large MAGUK scaffold protein 2,1740,DLG2
206254_at,EGF,epidermal growth factor,1950,EGF
206255_at,BLK,"BLK proto-oncogene, Src family tyrosine kinase",640,BLK
206256_at,CPN1,carboxypeptidase N subunit 1,1369,CPN1
206257_at,CCDC9,coiled-coil domain containing 9,26093,CCDC9
206258_at,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",29906,ST8SIA5
206259_at,PROC,"protein C, inactivator of coagulation factors Va and VIIIa",5624,PROC
206260_at,TGM4,transglutaminase 4,7047,TGM4
206261_at,ZNF239,zinc finger protein 239,8187,ZNF239
206262_at,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",126,ADH1C
206263_at,FMO4,flavin containing monooxygenase 4,2329,FMO4
206264_at,GPLD1,glycosylphosphatidylinositol specific phospholipase D1,2822,GPLD1
206265_s_at,GPLD1,glycosylphosphatidylinositol specific phospholipase D1,2822,GPLD1
206266_at,GPLD1,glycosylphosphatidylinositol specific phospholipase D1,2822,GPLD1
206267_s_at,MATK,megakaryocyte-associated tyrosine kinase,4145,MATK
206268_at,LEFTY1,left-right determination factor 1,10637,LEFTY1
206269_at,GCM1,glial cells missing homolog 1,8521,GCM1
206270_at,PRKCG,protein kinase C gamma,5582,PRKCG
206271_at,TLR3,toll like receptor 3,7098,TLR3
206272_at,SPHAR///RAB4A,"S-phase response (cyclin related)///RAB4A, member RAS oncogene family",10638///5867,SPHAR
206273_at,PRELID3A,PRELI domain containing 3A,10650,PRELID3A
206274_s_at,CROCC,"ciliary rootlet coiled-coil, rootletin",9696,CROCC
206275_s_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",9645,MICAL2
206276_at,LY6D,"lymphocyte antigen 6 complex, locus D",8581,LY6D
206277_at,P2RY2,purinergic receptor P2Y2,5029,P2RY2
206278_at,PTAFR,platelet activating factor receptor,5724,PTAFR
206279_at,PRKY,"protein kinase, Y-linked, pseudogene",5616,PRKY
206280_at,CDH18,cadherin 18,1016,CDH18
206281_at,ADCYAP1,adenylate cyclase activating polypeptide 1,116,ADCYAP1
206282_at,NEUROD1,neuronal differentiation 1,4760,NEUROD1
206283_s_at,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor",6886,TAL1
206284_x_at,CLTB,clathrin light chain B,1212,CLTB
206285_at,NPHP1,nephrocystin 1,4867,NPHP1
206286_s_at,TDGF1P3///TDGF1,teratocarcinoma-derived growth factor 1 pseudogene 3///teratocarcinoma-derived growth factor 1,6998///6997,TDGF1P3
206287_s_at,ITIH4,inter-alpha-trypsin inhibitor heavy chain family member 4,3700,ITIH4
206288_at,PGGT1B,protein geranylgeranyltransferase type I subunit beta,5229,PGGT1B
206289_at,HOXA4,homeobox A4,3201,HOXA4
206290_s_at,RGS7,regulator of G-protein signaling 7,6000,RGS7
206291_at,NTS,neurotensin,4922,NTS
206292_s_at,SULT2A1,sulfotransferase family 2A member 1,6822,SULT2A1
206293_at,SULT2A1,sulfotransferase family 2A member 1,6822,SULT2A1
206294_at,HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",3284,HSD3B2
206295_at,IL18,interleukin 18,3606,IL18
206296_x_at,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,11184,MAP4K1
206297_at,CTRC,chymotrypsin C,11330,CTRC
206298_at,ARHGAP22,Rho GTPase activating protein 22,58504,ARHGAP22
206299_at,FAM155B,family with sequence similarity 155 member B,27112,FAM155B
206300_s_at,PTHLH,parathyroid hormone like hormone,5744,PTHLH
206301_at,TEC,tec protein tyrosine kinase,7006,TEC
206302_s_at,NUDT4P1///NUDT4P2///NUDT4,nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4,440672///170688///11163,NUDT4P1
206303_s_at,NUDT4P1///NUDT4P2///NUDT4,nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4,440672///170688///11163,NUDT4P1
206304_at,MYBPH,myosin binding protein H,4608,MYBPH
206305_s_at,C8A,complement component 8 alpha subunit,731,C8A
206306_at,RYR3,ryanodine receptor 3,6263,RYR3
206307_s_at,FOXD1,forkhead box D1,2297,FOXD1
206308_at,TRDMT1,tRNA aspartic acid methyltransferase 1,1787,TRDMT1
206309_at,LECT1,leukocyte cell derived chemotaxin 1,11061,LECT1
206310_at,SPINK2,"serine peptidase inhibitor, Kazal type 2",6691,SPINK2
206311_s_at,PLA2G1B,phospholipase A2 group IB,5319,PLA2G1B
206312_at,GUCY2C,guanylate cyclase 2C,2984,GUCY2C
206313_at,HLA-DOA,"major histocompatibility complex, class II, DO alpha",3111,HLA-DOA
206314_at,ZKSCAN7,zinc finger with KRAB and SCAN domains 7,55888,ZKSCAN7
206315_at,CRLF1,cytokine receptor like factor 1,9244,CRLF1
206316_s_at,KNTC1,kinetochore associated 1,9735,KNTC1
206317_s_at,ABCB8,ATP binding cassette subfamily B member 8,11194,ABCB8
206318_at,EPPIN-WFDC6///EPPIN,EPPIN-WFDC6 readthrough///epididymal peptidase inhibitor,100526773///57119,EPPIN-WFDC6
206319_s_at,EPPIN-WFDC6///EPPIN,EPPIN-WFDC6 readthrough///epididymal peptidase inhibitor,100526773///57119,EPPIN-WFDC6
206320_s_at,SMAD9,SMAD family member 9,4093,SMAD9
206321_at,RFX1,regulatory factor X1,5989,RFX1
206322_at,SYN3,synapsin III,8224,SYN3
206323_x_at,OPHN1,oligophrenin 1,4983,OPHN1
206324_s_at,DAPK2,death associated protein kinase 2,23604,DAPK2
206325_at,SERPINA6,serpin family A member 6,866,SERPINA6
206326_at,GRP,gastrin releasing peptide,2922,GRP
206327_s_at,CDH15,cadherin 15,1013,CDH15
206328_at,CDH15,cadherin 15,1013,CDH15
206329_at,EXTL1,exostosin like glycosyltransferase 1,2134,EXTL1
206330_s_at,SHC3,SHC adaptor protein 3,53358,SHC3
206331_at,CALCRL,calcitonin receptor like receptor,10203,CALCRL
206332_s_at,IFI16,interferon gamma inducible protein 16,3428,IFI16
206333_at,MSI1,musashi RNA binding protein 1,4440,MSI1
206334_at,LIPF,"lipase F, gastric type",8513,LIPF
206335_at,GALNS,galactosamine (N-acetyl)-6-sulfatase,2588,GALNS
206336_at,CXCL6,C-X-C motif chemokine ligand 6,6372,CXCL6
206337_at,CCR7,C-C motif chemokine receptor 7,1236,CCR7
206338_at,ELAVL3,ELAV like neuron-specific RNA binding protein 3,1995,ELAVL3
206339_at,CARTPT,CART prepropeptide,9607,CARTPT
206340_at,NR1H4,nuclear receptor subfamily 1 group H member 4,9971,NR1H4
206341_at,IL2RA,interleukin 2 receptor subunit alpha,3559,IL2RA
206342_x_at,IDS,iduronate 2-sulfatase,3423,IDS
206343_s_at,NRG1,neuregulin 1,3084,NRG1
206344_at,PON1,paraoxonase 1,5444,PON1
206345_s_at,PON1,paraoxonase 1,5444,PON1
206346_at,PRLR,prolactin receptor,5618,PRLR
206347_at,PDK3,pyruvate dehydrogenase kinase 3,5165,PDK3
206348_s_at,PDK3,pyruvate dehydrogenase kinase 3,5165,PDK3
206349_at,LGI1,leucine rich glioma inactivated 1,9211,LGI1
206350_at,APCS,"amyloid P component, serum",325,APCS
206351_s_at,PEX10,peroxisomal biogenesis factor 10,5192,PEX10
206352_s_at,PEX10,peroxisomal biogenesis factor 10,5192,PEX10
206353_at,COX6A2,cytochrome c oxidase subunit 6A2,1339,COX6A2
206354_at,SLCO1B3,solute carrier organic anion transporter family member 1B3,28234,SLCO1B3
206355_at,GNAL,G protein subunit alpha L,2774,GNAL
206356_s_at,GNAL,G protein subunit alpha L,2774,GNAL
206357_at,OPA3,"optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)",80207,OPA3
206358_at,PRM1,protamine 1,5619,PRM1
206359_at,SOCS3,suppressor of cytokine signaling 3,9021,SOCS3
206360_s_at,SOCS3,suppressor of cytokine signaling 3,9021,SOCS3
206361_at,PTGDR2,prostaglandin D2 receptor 2,11251,PTGDR2
206362_x_at,MAP3K10,mitogen-activated protein kinase kinase kinase 10,4294,MAP3K10
206363_at,MAF,MAF bZIP transcription factor,4094,MAF
206364_at,KIF14,kinesin family member 14,9928,KIF14
206365_at,XCL1,X-C motif chemokine ligand 1,6375,XCL1
206366_x_at,XCL1,X-C motif chemokine ligand 1,6375,XCL1
206367_at,REN,renin,5972,REN
206368_at,CPLX2,complexin 2,10814,CPLX2
206369_s_at,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",5294,PIK3CG
206370_at,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",5294,PIK3CG
206371_at,FOLR3,folate receptor 3,2352,FOLR3
206372_at,MYF6,myogenic factor 6,4618,MYF6
206373_at,ZIC1,Zic family member 1,7545,ZIC1
206374_at,LOC101927562///DUSP8,uncharacterized LOC101927562///dual specificity phosphatase 8,101927562///1850,LOC101927562
206375_s_at,HSPB3,heat shock protein family B (small) member 3,8988,HSPB3
206376_at,SLC6A15,solute carrier family 6 member 15,55117,SLC6A15
206377_at,FOXF2,forkhead box F2,2295,FOXF2
206378_at,SCGB2A2,secretoglobin family 2A member 2,4250,SCGB2A2
206379_at,EYA3,EYA transcriptional coactivator and phosphatase 3,2140,EYA3
206380_s_at,CFP,complement factor properdin,5199,CFP
206381_at,SCN2A,sodium voltage-gated channel alpha subunit 2,6326,SCN2A
206382_s_at,BDNF,brain derived neurotrophic factor,627,BDNF
206383_s_at,G3BP2,G3BP stress granule assembly factor 2,9908,G3BP2
206384_at,CACNG3,calcium voltage-gated channel auxiliary subunit gamma 3,10368,CACNG3
206385_s_at,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",288,ANK3
206386_at,SERPINA7,serpin family A member 7,6906,SERPINA7
206387_at,CDX2,caudal type homeobox 2,1045,CDX2
206388_at,PDE3A,phosphodiesterase 3A,5139,PDE3A
206389_s_at,PDE3A,phosphodiesterase 3A,5139,PDE3A
206390_x_at,PF4,platelet factor 4,5196,PF4
206391_at,RARRES1,retinoic acid receptor responder 1,5918,RARRES1
206392_s_at,RARRES1,retinoic acid receptor responder 1,5918,RARRES1
206393_at,TNNI2,"troponin I2, fast skeletal type",7136,TNNI2
206394_at,MYBPC2,"myosin binding protein C, fast type",4606,MYBPC2
206395_at,DGKG,diacylglycerol kinase gamma,1608,DGKG
206396_at,SLC1A1,solute carrier family 1 member 1,6505,SLC1A1
206397_x_at,CERS1///GDF1,ceramide synthase 1///growth differentiation factor 1,10715///2657,CERS1
206398_s_at,CD19,CD19 molecule,930,CD19
206399_x_at,LOC100507353///CACNA1A,uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A,100507353///773,LOC100507353
206400_at,LGALS7B///LGALS7,galectin 7B///galectin 7,653499///3963,LGALS7B
206401_s_at,MAPT,microtubule associated protein tau,4137,MAPT
206402_s_at,NPFF,neuropeptide FF-amide peptide precursor,8620,NPFF
206403_at,ZNF536,zinc finger protein 536,9745,ZNF536
206404_at,FGF9,fibroblast growth factor 9,2254,FGF9
206405_x_at,USP32///USP6,ubiquitin specific peptidase 32///ubiquitin specific peptidase 6,84669///9098,USP32
206406_at,SMCP,sperm mitochondria associated cysteine rich protein,4184,SMCP
206407_s_at,CCL13,C-C motif chemokine ligand 13,6357,CCL13
206408_at,LRRTM2,leucine rich repeat transmembrane neuronal 2,26045,LRRTM2
206409_at,TIAM1,T-cell lymphoma invasion and metastasis 1,7074,TIAM1
206410_at,NR0B2,nuclear receptor subfamily 0 group B member 2,8431,NR0B2
206411_s_at,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",27,ABL2
206412_at,FER,FER tyrosine kinase,2241,FER
206413_s_at,TCL1B,T-cell leukemia/lymphoma 1B,9623,TCL1B
206414_s_at,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",8853,ASAP2
206415_at,TLL1,tolloid like 1,7092,TLL1
206416_at,ZNF205,zinc finger protein 205,7755,ZNF205
206417_at,CNGA1,cyclic nucleotide gated channel alpha 1,1259,CNGA1
206418_at,NOX1,NADPH oxidase 1,27035,NOX1
206419_at,RORC,RAR related orphan receptor C,6097,RORC
206420_at,IGSF6,immunoglobulin superfamily member 6,10261,IGSF6
206421_s_at,SERPINB7,serpin family B member 7,8710,SERPINB7
206422_at,GCG,glucagon,2641,GCG
206423_at,ANGPTL7,angiopoietin like 7,10218,ANGPTL7
206424_at,CYP26A1,cytochrome P450 family 26 subfamily A member 1,1592,CYP26A1
206425_s_at,TRPC3,transient receptor potential cation channel subfamily C member 3,7222,TRPC3
206426_at,MLANA,melan-A,2315,MLANA
206427_s_at,MLANA,melan-A,2315,MLANA
206428_s_at,ZNF143,zinc finger protein 143,7702,ZNF143
206429_at,F2RL1,F2R like trypsin receptor 1,2150,F2RL1
206430_at,CDX1,caudal type homeobox 1,1044,CDX1
206431_x_at,TBC1D9B,TBC1 domain family member 9B,23061,TBC1D9B
206432_at,HAS2,hyaluronan synthase 2,3037,HAS2
206433_s_at,SPOCK3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3",50859,SPOCK3
206434_at,SPOCK3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3",50859,SPOCK3
206435_at,B4GALNT1,"beta-1,4-N-acetyl-galactosaminyltransferase 1",2583,B4GALNT1
206436_at,MPPED1,metallophosphoesterase domain containing 1,758,MPPED1
206437_at,S1PR4,sphingosine-1-phosphate receptor 4,8698,S1PR4
206438_x_at,TCTN2,tectonic family member 2,79867,TCTN2
206439_at,EPYC,epiphycan,1833,EPYC
206440_at,LIN7A,"lin-7 homolog A, crumbs cell polarity complex component",8825,LIN7A
206441_s_at,COMMD4,COMM domain containing 4,54939,COMMD4
206442_at,SEMG1,semenogelin I,6406,SEMG1
206443_at,RORB,RAR related orphan receptor B,6096,RORB
206444_at,PDE1B,phosphodiesterase 1B,5153,PDE1B
206445_s_at,PRMT1,protein arginine methyltransferase 1,3276,PRMT1
206446_s_at,CELA2A///CELA2B,chymotrypsin like elastase family member 2A///chymotrypsin like elastase family member 2B,63036///51032,CELA2A
206447_at,CELA2A///CELA2B,chymotrypsin like elastase family member 2A///chymotrypsin like elastase family member 2B,63036///51032,CELA2A
206448_at,ZNF365,zinc finger protein 365,22891,ZNF365
206449_s_at,MASP1,mannan binding lectin serine peptidase 1,5648,MASP1
206450_at,DBH,dopamine beta-hydroxylase,1621,DBH
206451_at,TBCCD1,TBCC domain containing 1,55171,TBCCD1
206452_x_at,PTPA,protein phosphatase 2 phosphatase activator,5524,PTPA
206453_s_at,NDRG2,NDRG family member 2,57447,NDRG2
206454_s_at,RHO,rhodopsin,6010,RHO
206455_s_at,RHO,rhodopsin,6010,RHO
206456_at,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,2558,GABRA5
206457_s_at,DIO1,"deiodinase, iodothyronine type I",1733,DIO1
206458_s_at,WNT2B,Wnt family member 2B,7482,WNT2B
206459_s_at,WNT2B,Wnt family member 2B,7482,WNT2B
206460_at,AJAP1,adherens junctions associated protein 1,55966,AJAP1
206461_x_at,MT1H,metallothionein 1H,4496,MT1H
206462_s_at,NTRK3,neurotrophic receptor tyrosine kinase 3,4916,NTRK3
206463_s_at,DHRS2,dehydrogenase/reductase 2,10202,DHRS2
206464_at,BMX,BMX non-receptor tyrosine kinase,660,BMX
206465_at,ACSBG1,acyl-CoA synthetase bubblegum family member 1,23205,ACSBG1
206466_at,ACSBG1,acyl-CoA synthetase bubblegum family member 1,23205,ACSBG1
206467_x_at,RTEL1-TNFRSF6B///TNFRSF6B,RTEL1-TNFRSF6B readthrough (NMD candidate)///TNF receptor superfamily member 6b,100533107///8771,RTEL1-TNFRSF6B
206468_s_at,METTL13,methyltransferase like 13,51603,METTL13
206469_x_at,AKR7A3,aldo-keto reductase family 7 member A3,22977,AKR7A3
206470_at,PLXNC1,plexin C1,10154,PLXNC1
206471_s_at,PLXNC1,plexin C1,10154,PLXNC1
206472_s_at,TLE3,transducin like enhancer of split 3,7090,TLE3
206473_at,MBTPS2,"membrane bound transcription factor peptidase, site 2",51360,MBTPS2
206474_at,CDK17,cyclin dependent kinase 17,5128,CDK17
206475_x_at,GH1///CSHL1///CSH1,growth hormone 1///chorionic somatomammotropin hormone like 1///chorionic somatomammotropin hormone 1,2688///1444///1442,GH1
206476_s_at,NOVA2,NOVA alternative splicing regulator 2,4858,NOVA2
206477_s_at,NOVA2,NOVA alternative splicing regulator 2,4858,NOVA2
206478_at,FAM30A,"family with sequence similarity 30, member A",9834,FAM30A
206479_at,TRPM1,transient receptor potential cation channel subfamily M member 1,4308,TRPM1
206480_at,LTC4S,leukotriene C4 synthase,4056,LTC4S
206481_s_at,LDB2,LIM domain binding 2,9079,LDB2
206482_at,PTK6,protein tyrosine kinase 6,5753,PTK6
206483_at,LRRC6,leucine rich repeat containing 6,23639,LRRC6
206484_s_at,XPNPEP2,X-prolyl aminopeptidase 2,7512,XPNPEP2
206485_at,CD5,CD5 molecule,921,CD5
206486_at,LAG3,lymphocyte activating 3,3902,LAG3
206487_at,SUN1,Sad1 and UNC84 domain containing 1,23353,SUN1
206488_s_at,CD36,CD36 molecule,948,CD36
206489_s_at,DLGAP1,DLG associated protein 1,9229,DLGAP1
206490_at,DLGAP1,DLG associated protein 1,9229,DLGAP1
206491_s_at,NAPA,NSF attachment protein alpha,8775,NAPA
206492_at,FHIT,fragile histidine triad,2272,FHIT
206493_at,ITGA2B,integrin subunit alpha 2b,3674,ITGA2B
206494_s_at,ITGA2B,integrin subunit alpha 2b,3674,ITGA2B
206495_s_at,HINFP,histone H4 transcription factor,25988,HINFP
206496_at,FMO3,flavin containing monooxygenase 3,2328,FMO3
206497_at,COA1,cytochrome c oxidase assembly factor 1 homolog,55744,COA1
206498_at,OCA2,OCA2 melanosomal transmembrane protein,4948,OCA2
206499_s_at,RCC1,regulator of chromosome condensation 1,1104,RCC1
206500_s_at,MIS18BP1,MIS18 binding protein 1,55320,MIS18BP1
206501_x_at,ETV1,ETS variant 1,2115,ETV1
206502_s_at,INSM1,INSM transcriptional repressor 1,3642,INSM1
206503_x_at,PML,promyelocytic leukemia,5371,PML
206504_at,CYP24A1,cytochrome P450 family 24 subfamily A member 1,1591,CYP24A1
206505_at,UGT2B4,UDP glucuronosyltransferase family 2 member B4,7363,UGT2B4
206506_s_at,SUPT3H,"SPT3 homolog, SAGA and STAGA complex component",8464,SUPT3H
206507_at,ZSCAN12,zinc finger and SCAN domain containing 12,9753,ZSCAN12
206508_at,CD70,CD70 molecule,970,CD70
206509_at,PIP,prolactin induced protein,5304,PIP
206510_at,SIX2,SIX homeobox 2,10736,SIX2
206511_s_at,SIX2,SIX homeobox 2,10736,SIX2
206512_at,ZRSR1///SRP19,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 1///signal recognition particle 19",7310///6728,ZRSR1
206513_at,AIM2,absent in melanoma 2,9447,AIM2
206514_s_at,CYP4F2///CYP4F3,cytochrome P450 family 4 subfamily F member 2///cytochrome P450 family 4 subfamily F member 3,8529///4051,CYP4F2
206515_at,CYP4F3,cytochrome P450 family 4 subfamily F member 3,4051,CYP4F3
206516_at,MIR4321///AMH,microRNA 4321///anti-Mullerian hormone,100423031///268,MIR4321
206517_at,CDH16,cadherin 16,1014,CDH16
206518_s_at,RGS9,regulator of G-protein signaling 9,8787,RGS9
206519_x_at,SIGLEC6,sialic acid binding Ig like lectin 6,946,SIGLEC6
206520_x_at,SIGLEC6,sialic acid binding Ig like lectin 6,946,SIGLEC6
206521_s_at,GTF2A1,general transcription factor IIA subunit 1,2957,GTF2A1
206522_at,MGAM,maltase-glucoamylase,8972,MGAM
206523_at,CYTH3,cytohesin 3,9265,CYTH3
206524_at,T,T brachyury transcription factor,6862,T
206525_at,GABRR1,gamma-aminobutyric acid type A receptor rho1 subunit,2569,GABRR1
206526_at,RIBC2,RIB43A domain with coiled-coils 2,26150,RIBC2
206527_at,ABAT,4-aminobutyrate aminotransferase,18,ABAT
206528_at,TRPC6,transient receptor potential cation channel subfamily C member 6,7225,TRPC6
206529_x_at,SLC26A4,solute carrier family 26 member 4,5172,SLC26A4
206530_at,RAB30,"RAB30, member RAS oncogene family",27314,RAB30
206531_at,DPF1,double PHD fingers 1,8193,DPF1
206532_at,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",6598,SMARCB1
206533_at,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit,1138,CHRNA5
206534_at,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,2903,GRIN2A
206535_at,SLC2A2,solute carrier family 2 member 2,6514,SLC2A2
206536_s_at,XIAP,X-linked inhibitor of apoptosis,331,XIAP
206537_at,XIAP,X-linked inhibitor of apoptosis,331,XIAP
206538_at,MRAS,muscle RAS oncogene homolog,22808,MRAS
206539_s_at,CYP4F12,cytochrome P450 family 4 subfamily F member 12,66002,CYP4F12
206540_at,GLB1L,galactosidase beta 1 like,79411,GLB1L
206541_at,KLKB1,kallikrein B1,3818,KLKB1
206542_s_at,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",6595,SMARCA2
206543_at,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",6595,SMARCA2
